 "p" , "counter" ,
 "http://www.w3.org/2004/02/skos/core#prefLabel" , "6789" ,
 "http://xmlns.com/foaf/0.1/name" , "1960" ,
 "http://www.loc.gov/mads/rdf/v1#authoritativeLabel" , "268" ,
 "http://purl.org/net/vocab/2004/03/label#plural" , "229" ,
 "http://www.w3.org/2004/02/skos/core#altLabel" , "196" ,
 "http://purl.obolibrary.org/obo/BFO_0000179" , "37" ,
 "http://purl.obolibrary.org/obo/BFO_0000180" , "37" ,
 "http://comicmeta.org/cbo/qlabel" , "16" ,
 "http://purl.org/net/vocab/2004/03/label#singular" , "10" ,
 "http://www.w3.org/2004/02/skos/core#hiddenLabel" , "4" ,
