 "lt" , ".1" ,
 "el" , "1739" ,
 "gl" , "390" ,
 "be-tarask" , "350" ,
 "ln" , "3" ,
 "br" , "350" ,
 "et" , "212" ,
 "fr" , "3511" ,
 "bn" , "20" ,
 "it" , "2343" ,
 "hr" , "351" ,
 "lv" , "323" ,
 "sk" , "329" ,
 "ja" , "996" ,
 "uk" , "351" ,
 "la" , "4" ,
 "sr-ec" , "351" ,
 "vi" , "348" ,
 "te" , "39" ,
 "mk" , "351" ,
 "da" , "372" ,
 "he" , "295" ,
 "fa" , "114" ,
 "hsb" , "351" ,
 "zh-latn-pinyin-x-notone" , "9" ,
 "ms" , "250" ,
 "arz" , "325" ,
 "ko" , "632" ,
 "en-gb" , "765" ,
 "fi" , "656" ,
 "ru" , "1908" ,
 "be" , "5" ,
 "de" , "5094" ,
 "hi" , "2" ,
 "cs" , "1019" ,
 "aln" , "350" ,
 "nds" , "235" ,
 "es" , "2595" ,
 "ast" , "350" ,
 "zh" , "75" ,
 "hu" , "352" ,
 "is" , "117" ,
 "eo" , "1" ,
 "tl" , "351" ,
 "rue" , "24" ,
 "zh-hant" , "102" ,
 "zh-latn-wadegile" , "9" ,
 "mzn" , "13" ,
 "hy" , "1" ,
  , "34164" ,
 "sr" , "259" ,
 "en-us" , "138" ,
 "nl" , "2361" ,
 "dsb" , "351" ,
 "pl" , "831" ,
  , "183" ,
 "lt" , "323" ,
 "kr" , "8" ,
 "zh-latn-pinyin-x-hanyu" , "9" ,
 "en-uk" , "4" ,
 "jp" , "7" ,
 "af" , "319" ,
 "in" , "6" ,
 "pt" , "1147" ,
 "sv" , "1265" ,
 "kn" , "8" ,
 "pt-br" , "351" ,
 "en" , "33403" ,
 "ia" , "351" ,
 "zh-hans" , "351" ,
 "ka" , "260" ,
 "fur" , "170" ,
 "se" , "17" ,
 "ar" , "467" ,
 "ca" , "380" ,
 "sq" , "31" ,
 "ro" , "1" ,
 "ga" , "470" ,
 "az" , "3" ,
 "fr-fr" , "48" ,
 "bg" , "649" ,
 "ps" , "73" ,
 "no" , "1294" ,
 "eu" , "241" ,
 "sr-el" , "351" ,
 "en-au" , "39" ,
 "lb" , "142" ,
 "eng" , "585" ,
 "ku-latn" , "34" ,
 "tr" , "346" ,
 "myv" , "47" ,
 "sl" , "377" ,
