p,counter
http://www.w3.org/2000/01/rdf-schema#label,303240563
http://purl.org/dc/elements/1.1/title,68842253
http://xmlns.com/foaf/0.1/name,57911283
http://www.geonames.org/ontology#name,24057872
http://www.w3.org/2004/02/skos/core#prefLabel,15919741
http://www.w3.org/2004/02/skos/core#altLabel,11542902
http://www.loc.gov/mads/rdf/v1#authoritativeLabel,10130250
http://www.geonames.org/ontology#alternateName,5623730
http://www.w3.org/2004/02/skos/core#notation,4352618
http://www.w3.org/2006/03/wn/wn20/schema/lexicalForm,2892385
http://www.aktors.org/ontology/support#has-pretty-name,649432
http://usefulinc.com/ns/doap#name,331196
http://swrc.ontoware.org/ontology#title,327571
http://rs.tdwg.org/dwc/terms/scientificName,283243
http://eunis.eea.europa.eu/rdf/sites-schema.rdf#name,169720
http://www.geonames.org/ontology#officialName,107975
http://www.w3.org/2004/02/skos/core#hiddenLabel,80996
http://www.holygoat.co.uk/owl/redwood/0.1/tags/name,30247
http://www.w3.org/2002/12/cal/icaltzd#summary,23945
http://www.holygoat.co.uk/owl/redwood/0.1/tags/tagName,14236
http://lsdis.cs.uga.edu/~farshad/events/EventSchema.rdf#title,13158
http://www.w3.org/2008/05/skos#prefLabel,12515
http://www.w3.org/2002/12/cal/ical#summary,6684
http://spatial.ucd.ie/lod/osn/property/valueLabel,4587
http://spatial.ucd.ie/lod/osn/property/keyLabel,4380
http://www.w3.org/2003/12/exif/ns#model,3823
http://www.w3.org/2003/12/exif/ns#make,3818
http://data-gov.tw.rpi.edu/vocab/p/92/title,3780
http://www.w3.org/2003/12/exif/ns#software,3715
http://sw.deri.org/2006/07/location/loc#name,3265
http://purl.org/collections/nl/am/alternativeNumber,3230
http://www.w3.org/2000/10/swap/pim/email#phrase,2766
http://lsdis.cs.uga.edu/~farshad/spatial/FeatureClasses.rdf#name,2649
http://lsdis.cs.uga.edu/~farshad/events/EventSchema.rdf#has-title,1549
http://www.w3.org/2008/05/skos#altLabel,957
http://www.cogsci.princeton.edu/~wn#wordForm,943
http://www.w3.org/2000/10/swap/pim/email#subject,877
voc://nokia.com/MARS-2/MetaVocabulary/label,593
http://xmlns.com/foaf/0.1/#name,518
http://inferenceweb.stanford.edu/2004/07/iw.owl#hasEnglishString,340
http://www.w3.org/2003/03/glossary-project/schema#term,332
http://purl.org/net/vocab/2004/03/label#plural,285
http://inferenceweb.stanford.edu/2004/07/iw.owl#name,274
http://counterterror.mindswap.org/2005/terrorism.owl#name,271
http://www.johngoodwin.me.uk/pubs/name,250
http://courseware.rkbexplorer.com/ontologies/courseware#has-title,233
http://commontag.org/ns#label,187
http://purl.org/net/vocab/2004/03/label#inverseSingular,162
http://ec.europa.eu/eurostat/ramon/ontologies/legislation.rdf#categoryName,103
http://www.loc.gov/mads/rdf/v1#deprecatedLabel,87
http://www.w3.org/Addressing/schemes#schemeName,86
http://ogp.me/ns#title,85
http://topbraid.org/examples/kennedys#name,76
http://aksw.org/schema/buttonLabel,72
http://standaarden.overheid.nl/owms/terms/abbreviation,69
http://purl.org/collections/nl/am/value,65
http://muro.hejja.net/mDR/mDR.rdf#label,39
voc://nokia.com/MARS-2/MetaVocabulary/short_label,31
http://purl.org/net/vocab/2005/03/ff#name,30
http://standaarden.overheid.nl/owms/terms/ZACode,25
http://www.mindswap.org/2003/owl/pet#name,25
http://purl.org/net/vocab/2004/03/label#singular,23
http://www.w3.org/2001/05id/infoset#propertyName,23
http://www.holygoat.co.uk/owl/places/placename,20
http://www.w3.org/2000/08/palm56/pdb#fieldName,18
http://www.w3.org/2001/03/earl/1.0-test#name,18
http://www.w3.org/2001/05id/infoset#itemName,12
http://dig.csail.mit.edu/2005/ajar/ajaw/test/test-labels#name,8
http://purl.org/net/terms#term,8
http://www.w3.org/2001/12/09mr#knownAs,7
http://www.mmbase.org/rdf/bridge#fieldName,6
http://www.mmbase.org/rdf/bridge#nodeManagerName,3
http://www.w3.org/2001/04dun/colors#colorName,3
http://www.w3.org/2001/12/09mr#name,3
http://purl.org/net/vocab/2004/03/label#inversePlural,2
http://suika.fam.cx/~wakaba/-temp/2003/05/09/def/name,2
http://www.lingvoj.org/ontology#originalTitle,2
http://www.lingvoj.org/ontology#translatedTitle,2
file:/home/connolly/w3ccvs/WWW/2001/02pd/opksnet#netAddr,1
http://www.mmbase.org/rdf/bridge#cloudName,1
