lt,.1
tyv,1097
loz,16
gl,609909
be-tarask,104085
fj,894
sc,40878
enm,1
bjn,2442
lv,401801
hi-latn,11
hindko,1
dav,291
yo,156792
ja-jp,60
frr,17291
vi,3718550
sma,64
ug,6334
egy-latn,2
en-x-simple,25247
te,234841
arbd,2
ba,152838
roh,5
ono,1
mfe,291
ebu,291
kaa,1411
ks,1333
cdc-latn,3
zh-latn-pinyin-x-notone,15187
kk-cn,11270
io,163619
ko-kp,28
ara,225
fi,1941107
gan,16561
fa-latn-x-middle,4
de,34550869
hak,6111
kir,1
iri,26
tag,1
eml,4061
qqq-729,1
tt-cyrl,31
abb,1
teo,291
ny,979
scn,44787
lu,290
krc,4218
frs,7
grp,29
ses,291
cmn-hans,11
mzn,13268
isl,1
mgh,202
kbd,2947
en-us,549627
pli,6
kab,5734
lkt,2
nov,3630
gn,7124
ta-latn,1
khq,291
ab,2528
ber-latn-x-dialect,3
pt-br,87581
ksf,291
ace,3330
cgg,289
chi,33
kv,16087
sco,73191
pau,5
kk-cyrl,66830
tg,81470
se,22997
ceb,1345617
aa,133
arb,221
x-other,3
stq,4415
ho,41
mlt,2
hbo,27
osar,3
min,238412
ce,171920
ruq-latn,15
bcc,18
fr-ch,553
ug-arab,19
my,103290
ku,179578
sal,1
x-khasian,1
sd,1508
icao,611
gmh,1
arc,3946
kk-tr,11272
srn,3045
byn,289
avk,25
fas,3
nv,7928
mt,24751
fr-x-nrm,17538
il,2
xmn,13
ve,673
roa-rup,2
ta,320357
cps,44
pdt,61
tly,17
etruscan-in-latin-characters,3
x-highgerm,1
aeb,12
hun,63
lij,17379
da,2451914
hif-latn,20
rup,9675
mis-x-rip,3877
da-dk,14
asyr,22
ms,1034123
bat-smg,46
ko,2086486
ger,593
ik,1843
hi,489429
xh,1608
it-x-tara,7053
crh-latn,5155
cmn,1019
est,6
vls,23518
cor,1
yid,3
jrb,1
may,4
ber-latn,1
fro,5
tuk,2
ruq,18
lt,869078
,418308
kr,83
en-uk,137
jp,43
in,99548
fr-lu,553
nor,6
gsw-fr,102
raj,2
sa,26719
pap,4930
als,103
ksb,290
sgs,13652
cos,5
bnt,3
roa-tara,1
yav,290
cmn-hant,1019
frp,17153
dje,290
grm,35
ee,2276
ca,2258123
rof,291
us-us,1942
pol,71
kde,291
crh-cyrl,15
ko-kr,15
he-latn,14
bpy,29638
asa,289
jgo,111
bbc-latn,34
shi-tfng,16
sah,12126
mua,291
gla,2
ar-latn,7
sv-se,4
shi-latn,307
ff,1314
bo-latn,5
zh-tw,72475
fao,1
tum,378
rus,95
twq,291
pa-arab,25
chok,1
nr,20
az-cyrl,39
sei,47
ln,6158
sa-latn,18
kl,6891
nap,35495
mas,291
vot,16
akk,89
ary,25
va,1
per,4
itd,2
de-at,14622
en-gn,1
kea,462
map-bms,7
x-apes,68
kaz,2
kk,802283
dan,21
ig,2352
he,905554
fa,3361314
pt-pt,553
ku-arab,6031
ira,1
arz,17728
os,31230
ike-cans,83
mo,5330
botanical,194
naq,291
aln,393
zh,4404863
es-ar,554
akl,1
cpp,1
lzh,9847
roa,2
fr-ca,560
zh-latn-wadegile,15216
srd,1
zh-mo,5089
uzn,46
lmo,50333
kj,48
rum,14
syr,15
mr,227277
mrw,2
hit,19
kn,92744
iku,2
geo,1
yi,61492
frk,1
pal,1
aii,43
ua,18
vai-latn,290
brx,898
spa,246
fur,21691
iata,424
ii,129
non,5
gag,2732
ge,5
ice,1
lih,1
az,530437
rwr,2
egy,25
vec,36943
lo,23227
cze,32
km,11546
pam,10142
ukr,16
cop,15
ay,8398
lt-x,134
eng,8293
x-aramaic-latn,2
