,LinkedMDB
http://data.linkedmdb.org/resource/movie/actor,1.0
http://data.linkedmdb.org/resource/movie/cinematographer,1.0
http://data.linkedmdb.org/resource/movie/content/rating,1.0
http://data.linkedmdb.org/resource/movie/content/rating/system,1.0
http://data.linkedmdb.org/resource/movie/country,1.0
http://data.linkedmdb.org/resource/movie/director,1.0
http://data.linkedmdb.org/resource/movie/dubbing/performance,1.0
http://data.linkedmdb.org/resource/movie/editor,1.0
http://data.linkedmdb.org/resource/movie/film,1.0
http://data.linkedmdb.org/resource/movie/film/art/director,1.0
http://data.linkedmdb.org/resource/movie/film/awards/ceremony,1.0
http://data.linkedmdb.org/resource/movie/film/casting/director,1.0
http://data.linkedmdb.org/resource/movie/film/character,1.0
http://data.linkedmdb.org/resource/movie/film/collection,1.0
http://data.linkedmdb.org/resource/movie/film/company,1.0
http://data.linkedmdb.org/resource/movie/film/costume/designer,1.0
http://data.linkedmdb.org/resource/movie/film/crew/gig,1.0
http://data.linkedmdb.org/resource/movie/film/crewmember,1.0
http://data.linkedmdb.org/resource/movie/film/critic,1.0
http://data.linkedmdb.org/resource/movie/film/cut,1.0
http://data.linkedmdb.org/resource/movie/film/distribution/medium,1.0
http://data.linkedmdb.org/resource/movie/film/distributor,1.0
http://data.linkedmdb.org/resource/movie/film/featured/song,1.0
http://data.linkedmdb.org/resource/movie/film/festival,1.0
http://data.linkedmdb.org/resource/movie/film/festival/event,1.0
http://data.linkedmdb.org/resource/movie/film/festival/focus,1.0
http://data.linkedmdb.org/resource/movie/film/festival/sponsor,1.0
http://data.linkedmdb.org/resource/movie/film/film/company/relationship,1.0
http://data.linkedmdb.org/resource/movie/film/film/distributor/relationship,1.0
http://data.linkedmdb.org/resource/movie/film/format,1.0
http://data.linkedmdb.org/resource/movie/film/genre,1.0
http://data.linkedmdb.org/resource/movie/film/job,1.0
http://data.linkedmdb.org/resource/movie/film/location,1.0
http://data.linkedmdb.org/resource/movie/film/production/designer,1.0
http://data.linkedmdb.org/resource/movie/film/regional/release/date,1.0
http://data.linkedmdb.org/resource/movie/film/screening/venue,1.0
http://data.linkedmdb.org/resource/movie/film/series,1.0
http://data.linkedmdb.org/resource/movie/film/set/designer,1.0
http://data.linkedmdb.org/resource/movie/film/story/contributor,1.0
http://data.linkedmdb.org/resource/movie/film/subject,1.0
http://data.linkedmdb.org/resource/movie/film/theorist,1.0
http://data.linkedmdb.org/resource/movie/music/contributor,1.0
http://data.linkedmdb.org/resource/movie/performance,1.0
http://data.linkedmdb.org/resource/movie/personal/film/appearance,1.0
http://data.linkedmdb.org/resource/movie/personal/film/appearance/type,1.0
http://data.linkedmdb.org/resource/movie/producer,1.0
http://data.linkedmdb.org/resource/movie/production/company,1.0
http://data.linkedmdb.org/resource/movie/special/film/performance/type,1.0
http://data.linkedmdb.org/resource/movie/writer,1.0
http://data.linkedmdb.org/resource/oddlinker/interlink,1.0
http://data.linkedmdb.org/resource/oddlinker/linkage/run,0.0
