,Wikidata
http://www.wikidata.org/entity/Q10259,1.0
http://www.wikidata.org/entity/Q103495,1.0
http://www.wikidata.org/entity/Q10368615,1.0
http://www.wikidata.org/entity/Q10398273,1.0
http://www.wikidata.org/entity/Q1048835,1.0
http://www.wikidata.org/entity/Q1051282,1.0
http://www.wikidata.org/entity/Q10517054,1.0
http://www.wikidata.org/entity/Q1058914,1.0
http://www.wikidata.org/entity/Q1059167,1.0
http://www.wikidata.org/entity/Q106010,1.0
http://www.wikidata.org/entity/Q1062856,1.0
http://www.wikidata.org/entity/Q1064584,1.0
http://www.wikidata.org/entity/Q1065592,1.0
http://www.wikidata.org/entity/Q1066538,1.0
http://www.wikidata.org/entity/Q1066984,1.0
http://www.wikidata.org/entity/Q10742,1.0
http://www.wikidata.org/entity/Q1077857,1.0
http://www.wikidata.org/entity/Q10864048,1.0
http://www.wikidata.org/entity/Q1093829,1.0
http://www.wikidata.org/entity/Q112099,1.0
http://www.wikidata.org/entity/Q11225562,1.0
http://www.wikidata.org/entity/Q1123526,1.0
http://www.wikidata.org/entity/Q1125321,1.0
http://www.wikidata.org/entity/Q11269,1.0
http://www.wikidata.org/entity/Q1127742,1.0
http://www.wikidata.org/entity/Q11303,1.0
http://www.wikidata.org/entity/Q1135914,1.0
http://www.wikidata.org/entity/Q1138279,1.0
http://www.wikidata.org/entity/Q1140229,1.0
http://www.wikidata.org/entity/Q11422536,1.0
http://www.wikidata.org/entity/Q11424,0.9999784030339418
http://www.wikidata.org/entity/Q1142930,1.0
http://www.wikidata.org/entity/Q11448906,1.0
http://www.wikidata.org/entity/Q1149652,1.0
http://www.wikidata.org/entity/Q1154710,1.0
http://www.wikidata.org/entity/Q1156831,1.0
http://www.wikidata.org/entity/Q1161185,1.0
http://www.wikidata.org/entity/Q11691,1.0
http://www.wikidata.org/entity/Q11774097,1.0
http://www.wikidata.org/entity/Q11815270,1.0
http://www.wikidata.org/entity/Q11869645,1.0
http://www.wikidata.org/entity/Q1187811,1.0
http://www.wikidata.org/entity/Q1190993,1.0
http://www.wikidata.org/entity/Q1195354,1.0
http://www.wikidata.org/entity/Q1197685,1.0
http://www.wikidata.org/entity/Q1201472,1.0
http://www.wikidata.org/entity/Q12037308,1.0
http://www.wikidata.org/entity/Q1208802,1.0
http://www.wikidata.org/entity/Q12143,1.0
http://www.wikidata.org/entity/Q12178655,1.0
http://www.wikidata.org/entity/Q1226252,1.0
http://www.wikidata.org/entity/Q12280,0.9999120066874918
http://www.wikidata.org/entity/Q12284,1.0
http://www.wikidata.org/entity/Q123480,1.0
http://www.wikidata.org/entity/Q123705,0.9999505733491498
http://www.wikidata.org/entity/Q124734,1.0
http://www.wikidata.org/entity/Q12481,1.0
http://www.wikidata.org/entity/Q1248784,1.0
http://www.wikidata.org/entity/Q1268980,1.0
http://www.wikidata.org/entity/Q12759805,1.0
http://www.wikidata.org/entity/Q12772052,1.0
http://www.wikidata.org/entity/Q1279564,1.0
http://www.wikidata.org/entity/Q12816951,1.0
http://www.wikidata.org/entity/Q128570,1.0
http://www.wikidata.org/entity/Q1288568,1.0
http://www.wikidata.org/entity/Q1296849,1.0
http://www.wikidata.org/entity/Q130003,1.0
http://www.wikidata.org/entity/Q1307214,1.0
http://www.wikidata.org/entity/Q13107770,1.0
http://www.wikidata.org/entity/Q1313442,1.0
http://www.wikidata.org/entity/Q131734,1.0
http://www.wikidata.org/entity/Q131772,1.0
http://www.wikidata.org/entity/Q13212489,1.0
http://www.wikidata.org/entity/Q13218391,1.0
http://www.wikidata.org/entity/Q1321960,1.0
http://www.wikidata.org/entity/Q13220204,1.0
http://www.wikidata.org/entity/Q132241,1.0
http://www.wikidata.org/entity/Q13226383,1.0
http://www.wikidata.org/entity/Q1323642,1.0
http://www.wikidata.org/entity/Q133156,1.0
http://www.wikidata.org/entity/Q133442,1.0
http://www.wikidata.org/entity/Q1335818,1.0
http://www.wikidata.org/entity/Q13410403,1.0
http://www.wikidata.org/entity/Q13410433,1.0
http://www.wikidata.org/entity/Q13410444,1.0
http://www.wikidata.org/entity/Q13410522,1.0
http://www.wikidata.org/entity/Q13414358,1.0
http://www.wikidata.org/entity/Q13414361,1.0
http://www.wikidata.org/entity/Q13414754,1.0
http://www.wikidata.org/entity/Q13414755,1.0
http://www.wikidata.org/entity/Q13418847,1.0
http://www.wikidata.org/entity/Q1344,0.9998495788206979
http://www.wikidata.org/entity/Q134556,0.9999435162277878
http://www.wikidata.org/entity/Q1351282,1.0
http://www.wikidata.org/entity/Q1352230,1.0
http://www.wikidata.org/entity/Q1362673,1.0
http://www.wikidata.org/entity/Q1363935,1.0
http://www.wikidata.org/entity/Q13663086,1.0
http://www.wikidata.org/entity/Q136932,1.0
http://www.wikidata.org/entity/Q137073,1.0
http://www.wikidata.org/entity/Q1375749,1.0
http://www.wikidata.org/entity/Q1378945,1.0
http://www.wikidata.org/entity/Q1401522,1.0
http://www.wikidata.org/entity/Q1401527,1.0
http://www.wikidata.org/entity/Q1401585,1.0
http://www.wikidata.org/entity/Q1402592,1.0
http://www.wikidata.org/entity/Q1406161,1.0
http://www.wikidata.org/entity/Q14073567,0.9986754966887417
http://www.wikidata.org/entity/Q1418502,1.0
http://www.wikidata.org/entity/Q1427536,1.0
http://www.wikidata.org/entity/Q14350,1.0
http://www.wikidata.org/entity/Q144,1.0
http://www.wikidata.org/entity/Q1445650,1.0
http://www.wikidata.org/entity/Q14693950,1.0
http://www.wikidata.org/entity/Q14693961,1.0
http://www.wikidata.org/entity/Q14693998,1.0
http://www.wikidata.org/entity/Q14694490,1.0
http://www.wikidata.org/entity/Q14694851,1.0
http://www.wikidata.org/entity/Q14694931,1.0
http://www.wikidata.org/entity/Q14694942,1.0
http://www.wikidata.org/entity/Q14701639,1.0
http://www.wikidata.org/entity/Q14701803,1.0
http://www.wikidata.org/entity/Q14701806,1.0
http://www.wikidata.org/entity/Q14752541,1.0
http://www.wikidata.org/entity/Q14752572,1.0
http://www.wikidata.org/entity/Q147802,1.0
http://www.wikidata.org/entity/Q14795564,1.0
http://www.wikidata.org/entity/Q148578,1.0
http://www.wikidata.org/entity/Q14914657,1.0
http://www.wikidata.org/entity/Q14927600,1.0
http://www.wikidata.org/entity/Q14941870,1.0
http://www.wikidata.org/entity/Q14942777,1.0
http://www.wikidata.org/entity/Q1496967,1.0
http://www.wikidata.org/entity/Q1497649,1.0
http://www.wikidata.org/entity/Q149918,1.0
http://www.wikidata.org/entity/Q15083,1.0
http://www.wikidata.org/entity/Q15127012,1.0
http://www.wikidata.org/entity/Q15149663,1.0
http://www.wikidata.org/entity/Q1517900,1.0
http://www.wikidata.org/entity/Q1520223,1.0
http://www.wikidata.org/entity/Q15239622,1.0
http://www.wikidata.org/entity/Q15243209,1.0
http://www.wikidata.org/entity/Q15265344,0.9992354740061162
http://www.wikidata.org/entity/Q15284,1.0
http://www.wikidata.org/entity/Q15304003,1.0
http://www.wikidata.org/entity/Q1539016,1.0
http://www.wikidata.org/entity/Q15416,0.9999761717539972
http://www.wikidata.org/entity/Q1542629,1.0
http://www.wikidata.org/entity/Q1547289,1.0
http://www.wikidata.org/entity/Q1549591,1.0
http://www.wikidata.org/entity/Q155239,1.0
http://www.wikidata.org/entity/Q155271,1.0
http://www.wikidata.org/entity/Q15614021,1.0
http://www.wikidata.org/entity/Q15630849,1.0
http://www.wikidata.org/entity/Q15632617,0.9999299147295877
http://www.wikidata.org/entity/Q15634554,1.0
http://www.wikidata.org/entity/Q15646667,1.0
http://www.wikidata.org/entity/Q15720625,1.0
http://www.wikidata.org/entity/Q15773317,0.9998711838206878
http://www.wikidata.org/entity/Q15944511,1.0
http://www.wikidata.org/entity/Q160016,1.0
http://www.wikidata.org/entity/Q161243,1.0
http://www.wikidata.org/entity/Q1616075,1.0
http://www.wikidata.org/entity/Q1621783,1.0
http://www.wikidata.org/entity/Q1622062,1.0
http://www.wikidata.org/entity/Q162602,1.0
http://www.wikidata.org/entity/Q163740,1.0
http://www.wikidata.org/entity/Q1637706,1.0
http://www.wikidata.org/entity/Q16540254,1.0
http://www.wikidata.org/entity/Q16560,0.9999149876732126
http://www.wikidata.org/entity/Q1656682,1.0
http://www.wikidata.org/entity/Q167346,1.0
http://www.wikidata.org/entity/Q16917,1.0
http://www.wikidata.org/entity/Q17272482,1.0
http://www.wikidata.org/entity/Q17272692,1.0
http://www.wikidata.org/entity/Q17308006,1.0
http://www.wikidata.org/entity/Q17343829,1.0
http://www.wikidata.org/entity/Q1763527,1.0
http://www.wikidata.org/entity/Q178561,1.0
http://www.wikidata.org/entity/Q178790,1.0
http://www.wikidata.org/entity/Q179164,1.0
http://www.wikidata.org/entity/Q1792372,1.0
http://www.wikidata.org/entity/Q18011172,1.0
http://www.wikidata.org/entity/Q180868,1.0
http://www.wikidata.org/entity/Q18109,1.0
http://www.wikidata.org/entity/Q1812673,1.0
http://www.wikidata.org/entity/Q1814867,1.0
http://www.wikidata.org/entity/Q181916,1.0
http://www.wikidata.org/entity/Q1825417,1.0
http://www.wikidata.org/entity/Q1826986,1.0
http://www.wikidata.org/entity/Q1827405,1.0
http://www.wikidata.org/entity/Q18342229,1.0
http://www.wikidata.org/entity/Q18343316,1.0
http://www.wikidata.org/entity/Q18346616,1.0
http://www.wikidata.org/entity/Q18389,1.0
http://www.wikidata.org/entity/Q184188,1.0
http://www.wikidata.org/entity/Q184356,1.0
http://www.wikidata.org/entity/Q1847301,1.0
http://www.wikidata.org/entity/Q18524218,1.0
http://www.wikidata.org/entity/Q18663566,1.0
http://www.wikidata.org/entity/Q18691599,1.0
http://www.wikidata.org/entity/Q187432,1.0
http://www.wikidata.org/entity/Q188055,0.9993857493857494
http://www.wikidata.org/entity/Q18812508,1.0
http://www.wikidata.org/entity/Q188443,1.0
http://www.wikidata.org/entity/Q188451,1.0
http://www.wikidata.org/entity/Q188823,1.0
http://www.wikidata.org/entity/Q189004,0.9996432393863718
http://www.wikidata.org/entity/Q1899015,1.0
http://www.wikidata.org/entity/Q192498,1.0
http://www.wikidata.org/entity/Q1925316,1.0
http://www.wikidata.org/entity/Q192611,1.0
http://www.wikidata.org/entity/Q193076,1.0
http://www.wikidata.org/entity/Q193512,1.0
http://www.wikidata.org/entity/Q1936796,1.0
http://www.wikidata.org/entity/Q1944346,1.0
http://www.wikidata.org/entity/Q1951661,1.0
http://www.wikidata.org/entity/Q1952852,1.0
http://www.wikidata.org/entity/Q1956962,1.0
http://www.wikidata.org/entity/Q1958838,1.0
http://www.wikidata.org/entity/Q1959194,1.0
http://www.wikidata.org/entity/Q19644607,1.0
http://www.wikidata.org/entity/Q196627,1.0
http://www.wikidata.org/entity/Q1969642,1.0
http://www.wikidata.org/entity/Q19809,1.0
http://www.wikidata.org/entity/Q19860854,1.0
http://www.wikidata.org/entity/Q1993334,1.0
http://www.wikidata.org/entity/Q19953632,1.0
http://www.wikidata.org/entity/Q200250,1.0
http://www.wikidata.org/entity/Q200538,1.0
http://www.wikidata.org/entity/Q20097897,1.0
http://www.wikidata.org/entity/Q20181813,1.0
http://www.wikidata.org/entity/Q20202352,1.0
http://www.wikidata.org/entity/Q202216,1.0
http://www.wikidata.org/entity/Q202509,1.0
http://www.wikidata.org/entity/Q202686,1.0
http://www.wikidata.org/entity/Q2039348,1.0
http://www.wikidata.org/entity/Q204669,1.0
http://www.wikidata.org/entity/Q20639856,1.0
http://www.wikidata.org/entity/Q20667187,1.0
http://www.wikidata.org/entity/Q20744047,1.0
http://www.wikidata.org/entity/Q2074737,1.0
http://www.wikidata.org/entity/Q207524,1.0
http://www.wikidata.org/entity/Q207694,1.0
http://www.wikidata.org/entity/Q208511,1.0
http://www.wikidata.org/entity/Q20900468,1.0
http://www.wikidata.org/entity/Q209363,1.0
http://www.wikidata.org/entity/Q2097974,1.0
http://www.wikidata.org/entity/Q2098169,1.0
http://www.wikidata.org/entity/Q210167,1.0
http://www.wikidata.org/entity/Q211496,1.0
http://www.wikidata.org/entity/Q21191270,0.9998312307497574
http://www.wikidata.org/entity/Q2126292,1.0
http://www.wikidata.org/entity/Q21281028,1.0
http://www.wikidata.org/entity/Q2133344,1.0
http://www.wikidata.org/entity/Q21495953,1.0
http://www.wikidata.org/entity/Q214995,1.0
http://www.wikidata.org/entity/Q2150,1.0
http://www.wikidata.org/entity/Q21507383,1.0
http://www.wikidata.org/entity/Q21518270,1.0
http://www.wikidata.org/entity/Q215380,0.999986308122022
http://www.wikidata.org/entity/Q21562092,1.0
http://www.wikidata.org/entity/Q21647259,1.0
http://www.wikidata.org/entity/Q21647266,1.0
http://www.wikidata.org/entity/Q2171616,1.0
http://www.wikidata.org/entity/Q2178147,1.0
http://www.wikidata.org/entity/Q21804540,1.0
http://www.wikidata.org/entity/Q218616,1.0
http://www.wikidata.org/entity/Q21869758,1.0
http://www.wikidata.org/entity/Q222910,1.0
http://www.wikidata.org/entity/Q223393,1.0
